X,Y,concentration,wind_speed,wind_dir
0.3045,0.5655,0.00209,0.01707,94.33434
3.8715,0.3335,0.00149,0.01901,306.16474
1.1455,0.3045,0.00319,0.06568,327.78103
2.0445,0.3915,0.00453,0.0393,205.54796
1.0295,0.4205,0.00307,0.12331,281.52682
2.3925,0.5075,0.00464,0.02373,200.75669
1.3485,0.3045,0.00314,0.0796,332.38226
0.3915,0.5655,0.0021,0.02843,97.96482
3.2915,0.4785,0.00367,0.01423,62.85859
0.5365,0.4495,0.00215,0.02529,94.05818
0.4205,0.3335,0.00213,0.01013,310.87734
4.5385,0.3335,0.00134,0.01993,329.25316
2.8275,0.5075,0.00424,0.04154,53.24045
3.8135,0.3625,0.00165,0.11383,89.4715
0.8845,0.5655,0.00231,0.01597,2.94302
4.7415,0.4495,0.00129,0.07379,270.29506
1.6385,0.3045,0.00357,0.04376,312.9351
0.9715,0.7975,0.00281,0.04762,77.80525
4.0165,0.7105,0.00136,0.02305,201.07677
4.0455,0.7105,0.00135,0.02405,201.90318
1.2615,0.6815,0.00339,0.06398,82.474
3.1175,0.6235,0.00427,0.02295,140.42778
3.9295,0.7105,0.00138,0.01779,198.7506
3.4365,0.7395,0.0026,0.13797,273.62789
3.2915,0.6235,0.00368,0.02054,66.31791
3.4945,0.6235,0.00271,0.11859,87.55452
2.4795,0.7685,0.00483,0.04741,285.60174
0.5655,0.7105,0.00214,0.05215,102.31192
0.4205,0.7105,0.0021,0.03895,95.59934
2.7985,0.6525,0.0046,0.03133,50.86888
3.7265,0.7395,0.002,0.11488,273.0238
0.9425,0.5945,0.00247,0.05782,78.95242
3.7555,0.6235,0.00181,0.10884,272.1852
3.5525,0.7395,0.0025,0.12664,272.9512
4.7705,0.7105,4e-05,0.0,180.0
3.0595,0.7685,0.00462,0.02738,146.65239
1.1745,0.8265,0.0032,0.10214,76.42092
1.0005,0.7105,0.00276,0.08669,83.08321
3.9875,0.6235,0.00136,0.02793,209.98916
1.1165,0.7105,0.00295,0.09869,79.82185
1.1745,0.5945,0.00321,0.05374,275.56314
1.3485,0.7105,0.00353,0.06943,75.39336
0.5075,0.7395,0.00212,0.04895,99.32376
3.3495,0.7685,0.00301,0.10127,87.41927
3.3205,0.7685,0.00344,0.06074,81.20292
1.3195,0.7105,0.00343,0.07497,76.57174
4.3065,0.7395,0.00136,0.01556,206.31809
3.7845,0.6525,0.00173,0.10765,273.27519
2.6825,0.5655,0.00435,0.05229,78.17003
1.7835,0.5945,0.00464,0.01955,347.35678
1.7255,0.8265,0.00486,0.0333,339.43187
2.7115,0.7975,0.00504,0.03427,66.45677
0.6815,0.6235,0.00218,0.04837,107.33353
4.1035,0.6525,0.00135,0.02983,209.59003
2.9725,0.6815,0.00462,0.02438,159.69156
0.2175,0.6525,0.0021,0.00505,180.0
1.9285,0.5945,0.00474,0.02884,198.10195
3.0015,0.5655,0.00434,0.02439,168.79144
1.0875,0.7395,0.00287,0.11299,78.87106
3.2335,0.7975,0.00412,0.01835,163.7373
4.2485,0.7685,0.00136,0.01715,207.35704
1.4935,0.6235,0.00368,0.03583,299.31245
0.5655,0.7685,0.00214,0.0522,102.09782
4.4225,0.6525,0.00136,0.01191,188.15731
0.5075,0.6525,0.00212,0.04588,100.65111
3.5815,0.5655,0.00249,0.11759,84.94541
2.6825,0.8265,0.00512,0.03794,72.22886
2.5665,0.7105,0.00467,0.05528,272.79977
1.6965,0.6235,0.00443,0.02022,308.2925
3.8135,0.7975,0.00176,0.08137,276.8534
3.6105,0.7975,0.00233,0.12931,275.27586
0.2465,0.7975,0.0021,0.01041,213.4
2.8855,0.7105,0.00478,0.0217,2.48267
1.0295,0.7685,0.00289,0.09086,81.88238
4.1035,0.6815,0.00135,0.02759,207.45674
2.1895,0.7395,0.00524,0.04147,224.60918
3.9295,0.7975,0.00139,0.01391,357.89872
3.2335,0.7105,0.00402,0.01168,151.35039
4.4225,0.5655,0.00135,0.01663,200.96331
3.2625,0.8265,0.00401,0.02136,14.47867
4.3355,0.5655,0.00135,0.02633,215.02411
4.3065,0.5655,0.00135,0.02896,216.20917
0.5075,0.7975,0.00212,0.04834,98.41003
4.6255,0.5655,0.00133,0.02971,276.26139
1.6095,0.7685,0.00402,0.05348,83.98987
4.7705,0.5655,4e-05,0.0,180.0
4.7415,0.5655,0.00128,0.07522,89.74102
4.6835,0.7975,0.0013,0.049,89.56737
2.6245,0.7395,0.00476,0.05504,84.30702
4.0165,0.9425,0.00138,0.01151,335.23877
3.1755,0.8555,0.00443,0.02733,153.81004
1.0875,1.0295,0.0044,0.02315,205.3144
1.9575,1.0005,0.00577,0.05645,226.7657
1.2035,0.9135,0.00407,0.02046,188.37567
0.1305,1.0585,0.0021,0.00664,196.71577
1.4355,0.9135,0.00449,0.03695,326.62384
1.4065,1.0295,0.00503,0.04413,354.47288
1.3485,0.9135,0.00423,0.02708,329.90347
4.3065,1.0585,0.0014,0.00135,334.57313
1.5805,1.0295,0.00511,0.03762,355.47163
0.5655,0.9425,0.00218,0.03164,104.81361
3.7265,1.0875,0.00381,0.01738,176.56966
2.6825,0.8845,0.00536,0.03308,68.88042
0.7685,1.0585,0.00286,0.02037,63.71174
4.7125,0.8265,0.00129,0.06018,89.35262
3.5235,1.0875,0.0042,0.03724,177.39884
1.6965,0.9135,0.00499,0.03706,348.34143
3.8425,1.0875,0.00227,0.01142,78.27674
1.9575,0.9135,0.00544,0.05156,224.34778
4.1035,1.0875,0.0014,0.00586,303.66296
3.8715,1.0875,0.00195,0.01256,85.61529
3.1755,0.8845,0.00448,0.02883,155.44419
3.9875,0.8555,0.00137,0.01398,352.35662
2.3055,1.0295,0.00553,0.03568,316.71507
0.5655,1.0875,0.00233,0.00285,36.427
1.4065,0.9425,0.00466,0.03951,339.98716
2.3925,0.9135,0.00518,0.04354,297.41839
0.4785,0.8555,0.00212,0.04345,95.26844
4.4225,0.9715,0.00139,0.0056,290.1491
3.6975,0.8845,0.00296,0.02741,82.03246
0.8845,1.0875,0.00381,0.00615,297.06471
2.5665,0.9135,0.00531,0.05628,89.08367
0.6525,0.9715,0.00226,0.01774,134.61179
4.5385,1.0875,0.00137,0.00929,79.0772
4.6255,0.9715,0.00133,0.02913,89.25262
3.8715,0.8845,0.00155,0.02316,299.37662
3.1175,0.9135,0.00469,0.03045,151.98729
0.2755,1.1165,0.00229,0.01771,322.24989
0.3045,1.0005,0.00215,0.01316,212.96545
0.1305,0.8845,0.00209,0.01705,298.96976
2.1025,1.0585,0.00605,0.04423,218.67599
0.5075,1.1165,0.00232,0.00343,311.21735
1.5805,0.9715,0.00505,0.04195,345.43372
1.5805,0.8555,0.00453,0.04143,311.1443
4.2485,0.8845,0.00137,0.00957,193.65873
2.4795,0.9425,0.00529,0.06221,279.77271
2.5375,0.9425,0.00539,0.05989,272.21032
1.6095,0.9715,0.00506,0.0404,347.37427
4.5095,1.0005,0.00138,0.01044,270.87803
2.8565,0.9425,0.00553,0.02369,156.38862
1.8125,0.8555,0.00497,0.03161,188.33002
4.6835,1.0005,0.0013,0.04503,89.09648
0.8265,1.0005,0.00283,0.02201,51.90126
0.0725,1.0295,0.00195,0.02996,268.10614
0.3045,0.9135,0.00211,0.01765,238.47967
1.2035,1.1165,0.00485,0.03916,189.79185
1.1165,0.8845,0.00374,0.01422,293.89703
0.1885,0.9135,0.00213,0.01563,318.73477
2.1315,0.8555,0.00553,0.04629,226.28664
3.4655,0.9425,0.00377,0.03819,43.87545
2.2765,0.9715,0.00548,0.02788,343.1118
3.3785,1.0585,0.0043,0.04079,173.39766
1.4355,1.1165,0.00507,0.03748,181.2231
2.3635,0.8555,0.00511,0.03053,315.4246
2.5375,1.0875,0.00613,0.05101,88.86547
2.8275,0.9715,0.00569,0.02186,160.87697
1.8995,1.1165,0.00605,0.05989,226.56973
1.7835,1.1165,0.00564,0.0505,217.05597
1.6965,1.0005,0.00512,0.03643,185.78259
