X,Y,concentration,wind_speed,wind_dir
2.9435,0.1595,0.00375,0.04723,50.86848
4.0165,0.1305,0.0014,0.03885,327.27541
4.0165,0.0145,0.00143,0.09569,289.91763
1.9865,0.0725,0.004,0.02768,300.26091
1.1165,0.2175,0.00306,0.0338,311.71378
0.3045,0.2465,0.00208,0.04667,279.94469
4.2775,0.1305,0.00137,0.05831,324.78099
1.5805,0.1015,0.00272,0.08549,57.20034
3.2045,0.1595,0.00358,0.05164,37.69105
2.4215,0.1885,0.00416,0.02931,199.80108
0.5365,0.2465,0.00216,0.03316,291.80783
3.2915,0.0435,0.0034,0.08115,55.71074
0.6815,0.0145,0.00209,0.14075,281.50792
1.7545,0.1015,0.00364,0.0372,271.12451
4.5675,0.0145,0.00133,0.09545,296.70196
4.5095,0.0145,0.00134,0.09949,299.66488
4.7125,0.1305,0.00131,0.08341,281.22775
3.6685,0.0435,0.00163,0.05534,302.7626
1.0295,0.0145,0.00239,0.12142,66.63784
2.9435,0.0725,0.00372,0.0523,59.38948
2.1895,0.1015,0.00406,0.02425,338.21614
3.8425,0.0435,0.00147,0.05281,297.66657
0.9715,0.2465,0.00272,0.13468,277.95562
0.1595,0.1595,0.002,0.0869,274.70615
2.2765,0.2175,0.00425,0.03922,206.12729
4.2775,0.0435,0.00138,0.08739,304.15194
0.4785,0.0435,0.00205,0.1281,277.26981
2.4215,0.1015,0.00402,0.01994,321.61843
0.4205,0.1595,0.00208,0.07779,278.82904
3.4655,0.1885,0.0028,0.05589,67.30758
2.8275,0.2175,0.00388,0.03595,61.28905
2.6535,0.1015,0.00395,0.02206,281.13671
1.6675,0.1305,0.00307,0.09323,74.242
1.8995,0.0145,0.00379,0.07451,272.53832
4.7705,0.1595,4e-05,0.0,180.0
0.7975,0.0435,0.0022,0.10786,281.76417
0.0435,0.0725,0.00189,0.1165,83.98404
3.9005,0.1885,0.00144,0.01749,189.94157
1.9575,0.1305,0.00407,0.02852,357.10549
1.9865,0.0145,0.00381,0.07556,89.43889
2.1605,0.2465,0.0043,0.04283,205.72737
4.1325,0.1885,0.00138,0.04432,346.54701
1.5515,0.2755,0.00309,0.07961,292.9321
0.4205,0.0725,0.00204,0.12153,274.54478
1.5805,0.0435,0.00262,0.11054,49.81417
1.4935,0.0435,0.00265,0.1006,28.47319
3.3495,0.2175,0.00343,0.03111,36.46473
2.2765,0.0145,0.00383,0.07682,78.55695
0.9135,0.0725,0.00235,0.08854,270.38826
2.5665,0.2465,0.00415,0.01705,181.44554
4.5965,0.0725,0.00133,0.07155,298.24489
0.6525,0.1885,0.0022,0.05059,286.8088
4.6545,0.0725,0.00132,0.07959,290.45915
3.6685,0.1015,0.00174,0.05614,300.72221
2.0445,0.1595,0.00414,0.03682,191.40455
0.0725,0.2175,0.00203,0.05829,275.78004
2.0155,0.1595,0.00413,0.0363,190.52367
2.9435,0.2465,0.00381,0.04862,45.79167
3.1175,0.0145,0.00356,0.092,61.31499
0.2465,0.2175,0.00205,0.0615,277.32377
3.4655,0.1305,0.00263,0.07028,77.23332
2.2475,0.1595,0.00415,0.03529,196.10371
0.3335,0.2175,0.00207,0.05863,279.34504
2.3345,0.1595,0.00414,0.03161,195.59687
