X,Y,concentration,wind_speed,wind_dir
4.0165,0.0145,0.00143,0.09569,289.91763
0.3045,0.2465,0.00208,0.04667,279.94469
4.1325,0.1305,0.00139,0.05141,325.86171
1.0005,0.1015,0.00259,0.10818,77.0685
0.1885,0.1305,0.00198,0.10713,272.50907
2.9435,0.1595,0.00375,0.04723,50.86848
1.9865,0.1885,0.00416,0.03867,194.40642
3.0305,0.1595,0.00369,0.054,44.66986
1.9865,0.0725,0.004,0.02768,300.26091
1.0585,0.1015,0.00272,0.09751,69.24726
3.9875,0.0145,0.00143,0.09365,289.66164
0.3045,0.0145,0.00186,0.17782,79.64241
1.0875,0.2175,0.00307,0.04193,302.2574
1.5805,0.1015,0.00272,0.08549,57.20034
4.1905,0.1305,0.00138,0.05605,325.73155
3.4655,0.1595,0.00271,0.06259,72.84747
0.6235,0.0145,0.00206,0.14373,280.8643
1.3195,0.1015,0.00282,0.05478,18.81863
2.5375,0.1885,0.0041,0.01991,186.86449
4.4515,0.1305,0.00135,0.05436,318.14676
4.1905,0.0145,0.00139,0.10599,292.62361
1.2905,0.2175,0.00298,0.02275,351.78799
1.5515,0.2175,0.0029,0.07132,277.49271
4.3645,0.0145,0.00136,0.1084,297.78956
0.3625,0.0145,0.00193,0.16892,88.39878
0.5945,0.0145,0.00205,0.14484,280.43788
0.9135,0.0145,0.00224,0.11597,273.49528
3.6975,0.0435,0.00161,0.05377,302.07316
4.5675,0.0145,0.00133,0.09545,296.70196
1.7835,0.1015,0.00381,0.02312,293.07168
2.8275,0.1885,0.00387,0.03347,62.76127
4.5675,0.2465,0.00134,0.03016,310.98042
0.6525,0.0145,0.00208,0.14212,281.23956
1.7255,0.2175,0.00372,0.02679,302.28421
2.7695,0.1885,0.00392,0.02452,73.94546
2.6535,0.0725,0.00392,0.03204,270.1073
2.7695,0.0725,0.00386,0.03652,78.53314
4.5385,0.1305,0.00134,0.05256,308.72109
0.7395,0.0145,0.00212,0.13641,281.68228
1.2035,0.0145,0.0025,0.14499,41.18295
3.1465,0.1885,0.00364,0.05039,35.30503
3.8715,0.1595,0.00146,0.01536,347.97299
0.1305,0.2755,0.00207,0.0381,276.26878
2.1895,0.2175,0.00425,0.04202,204.2837
0.9715,0.1305,0.00256,0.10876,84.99968
4.0455,0.1595,0.00139,0.03852,338.92511
0.1885,0.2755,0.00207,0.03637,277.29695
0.1595,0.2755,0.00207,0.03664,276.72354
1.1455,0.1305,0.0029,0.04656,60.08723
1.0005,0.2465,0.00294,0.1115,282.32983
3.1175,0.1885,0.00366,0.05202,36.84126
2.0445,0.1015,0.00405,0.02533,336.22814
4.1905,0.0435,0.00139,0.08382,301.78439
2.2765,0.2175,0.00425,0.03922,206.12729
2.4505,0.1015,0.00402,0.01961,317.14862
4.1615,0.0435,0.0014,0.0817,301.06719
1.5225,0.1305,0.00275,0.04747,49.89618
1.4935,0.0145,0.00253,0.12903,31.83499
0.3625,0.0435,0.00196,0.15344,88.9581
1.5515,0.1305,0.00274,0.05987,58.69157
4.2775,0.0435,0.00138,0.08739,304.15194
1.4645,0.0145,0.00253,0.13236,30.15455
1.4355,0.2465,0.00296,0.04835,311.2517
1.5225,0.0145,0.00252,0.12261,35.4361
0.5945,0.0435,0.00209,0.12269,280.76682
4.5095,0.1595,0.00134,0.04521,316.05759
0.7975,0.2755,0.00229,0.01584,83.73169
3.6685,0.0725,0.00168,0.05179,304.42648
3.5525,0.0725,0.00181,0.05947,288.26737
0.7395,0.1595,0.00224,0.0582,284.00043
3.6105,0.1885,0.00205,0.05242,271.69432
0.6525,0.1595,0.00219,0.06312,285.32199
2.7985,0.2175,0.00391,0.03146,66.29451
2.5955,0.1015,0.00397,0.02038,292.84047
2.7985,0.1015,0.00385,0.03175,73.7398
0.8845,0.1595,0.00237,0.06842,274.08979
1.7255,0.1305,0.00347,0.05216,83.59309
1.7255,0.2465,0.00383,0.02492,330.70864
1.1745,0.0435,0.00264,0.12135,43.85811
4.1035,0.0725,0.0014,0.0646,307.59184
0.2755,0.0725,0.00194,0.14596,88.34717
2.9725,0.1015,0.0037,0.05235,53.86561
1.0005,0.1595,0.00274,0.10172,89.1945
3.0305,0.1015,0.00366,0.05774,50.23509
1.9575,0.0145,0.00381,0.07525,270.34263
1.0005,0.2755,0.00298,0.12184,283.55152
1.0295,0.1595,0.00283,0.08531,88.44168
0.1305,0.1885,0.00202,0.07016,275.956
2.1605,0.1305,0.00411,0.03076,183.01866
1.9285,0.1305,0.00406,0.02714,356.09185
4.0165,0.0725,0.00142,0.05529,306.11346
2.2765,0.1305,0.0041,0.0279,183.20489
2.5375,0.0145,0.00382,0.0793,75.17516
3.3495,0.1015,0.00335,0.06051,54.00883
4.3355,0.1885,0.00136,0.04596,339.87735
3.4945,0.1015,0.00223,0.07891,86.2434
1.4065,0.1595,0.00285,0.01415,10.7142
0.5075,0.0725,0.00208,0.11185,278.57636
4.3355,0.0725,0.00136,0.07569,311.77058
3.4655,0.1015,0.00255,0.07901,80.48522
0.3335,0.1885,0.00206,0.07339,277.44554
1.5805,0.1595,0.00282,0.07584,75.64675
1.5515,0.2755,0.00309,0.07961,292.9321
1.2905,0.1595,0.00291,0.0111,175.96956
3.6975,0.1015,0.00171,0.05278,301.14807
4.5965,0.1885,0.00133,0.04167,301.10759
1.6675,0.1595,0.00314,0.08489,79.42471
1.6095,0.0435,0.00266,0.12058,57.7584
1.8125,0.0435,0.00384,0.04235,283.26841
0.9425,0.0725,0.0024,0.09467,83.71729
2.8275,0.0145,0.00376,0.08166,74.06424
2.6535,0.0145,0.0038,0.08,75.78137
2.8565,0.2465,0.00387,0.04228,56.08819
0.7105,0.0725,0.00217,0.10105,282.81909
2.5955,0.0145,0.00381,0.07972,75.55238
0.8555,0.0725,0.00227,0.08822,278.62518
1.8705,0.1595,0.00407,0.02857,186.35127
2.0735,0.2755,0.00433,0.04273,203.39753
3.0305,0.0145,0.00363,0.08691,64.54062
3.9005,0.2175,0.00144,0.01778,203.50756
2.8855,0.2465,0.00385,0.04536,52.4884
4.1325,0.2175,0.00137,0.04285,357.07015
0.2755,0.2175,0.00206,0.06128,277.82201
1.0295,0.1885,0.00291,0.07829,277.39733
2.0445,0.1595,0.00414,0.03682,191.40455
3.1755,0.0145,0.00351,0.09542,60.35343
2.1895,0.1595,0.00416,0.03682,195.30835
0.2755,0.1015,0.00197,0.12808,271.44059
1.0585,0.1885,0.00298,0.05826,280.92416
1.0875,0.0725,0.00267,0.10675,58.90553
1.3485,0.0725,0.00276,0.08172,23.0826
4.2195,0.1015,0.00138,0.06411,317.22494
2.3635,0.1595,0.00413,0.03016,195.00851
2.5085,0.1595,0.00408,0.02089,183.64989
0.5945,0.1015,0.00213,0.09356,282.22991
3.4365,0.1305,0.00294,0.06502,70.14939
4.2775,0.2175,0.00136,0.04406,352.21199
2.5375,0.0435,0.00392,0.04692,82.21009
1.4065,0.1885,0.00288,0.00853,290.36744
3.2335,0.2465,0.00365,0.03353,21.37616
3.4075,0.1305,0.00316,0.05651,62.40107
2.3345,0.2755,0.00433,0.03687,211.28887
0.5655,0.2175,0.00217,0.04286,288.89574
0.8265,0.1015,0.00227,0.07779,280.37533
4.5385,0.2175,0.00134,0.03356,317.24622
0.7685,0.2175,0.00227,0.03425,280.49635
0.6815,0.1015,0.00217,0.08871,283.37514
4.5675,0.2175,0.00134,0.03424,309.69203
2.6535,0.2755,0.00409,0.0156,294.18253
3.7845,0.1305,0.00159,0.03078,303.21507
0.6815,0.2175,0.00222,0.03715,287.7717
1.8705,0.0725,0.00395,0.02588,298.93203
2.8275,0.0435,0.00381,0.05288,73.41907
2.7695,0.1595,0.0039,0.02317,76.52158
2.8275,0.2755,0.00391,0.04234,59.57699
0.7685,0.1015,0.00223,0.08246,282.78579
0.1595,0.4785,0.0021,0.01251,279.24401
2.0155,0.4205,0.00457,0.03773,204.05809
2.9725,0.3915,0.004,0.03909,30.22479
