X,Y,concentration,wind_speed,wind_dir
2.175,0.675,0.80536,0.07491,18.15437
1.825,0.675,0.80478,0.05427,344.28374
2.275,0.825,0.80329,0.07634,15.83508
2.375,0.575,0.80878,0.09662,24.61817
2.625,0.475,0.81177,0.10473,25.11406
2.325,0.725,0.80603,0.08641,21.91345
2.325,0.825,0.80367,0.08012,17.41503
2.325,0.575,0.80836,0.08854,25.28
2.375,0.775,0.80527,0.08861,19.70689
2.625,0.675,0.80731,0.11461,19.59228
2.725,0.875,0.80571,0.10294,21.04071
2.725,0.825,0.80594,0.10782,20.29545
3.075,0.625,0.80766,0.11096,31.53139
3.125,0.775,0.80743,0.10291,32.90717
3.175,0.525,0.8057,0.08744,39.53375
2.975,0.725,0.8074,0.10661,23.90356
2.875,0.825,0.80632,0.10034,22.03787
3.125,0.625,0.80699,0.10128,35.19965
3.075,0.675,0.80754,0.10393,27.45761
2.775,0.725,0.80668,0.11238,20.62168
2.925,0.475,0.80761,0.1079,26.75979
2.975,0.575,0.80778,0.10868,26.28684
3.575,0.475,0.79692,0.07378,87.31986
3.675,0.575,0.79666,0.07964,87.23639
3.425,0.475,0.79829,0.07139,76.12531
3.675,0.775,0.79738,0.0994,86.08317
3.525,0.625,0.79772,0.09394,79.75353
3.525,0.825,0.7987,0.10023,79.85161
3.525,0.675,0.79836,0.09144,79.24062
3.775,0.475,0.79661,0.05431,69.09202
3.325,0.475,0.80162,0.06567,59.69018
3.775,0.525,0.79662,0.06101,79.85222
3.975,0.775,0.79733,0.07131,84.35017
4.075,0.525,0.79733,0.03077,19.37704
4.375,0.625,0.79811,0.02307,3.18121
4.325,0.775,0.79812,0.01952,43.71314
4.125,0.575,0.79756,0.02463,16.44075
3.925,0.575,0.79751,0.05271,85.36454
4.325,0.625,0.798,0.02105,27.10062
4.325,0.475,0.7976,0.04042,317.99804
4.225,0.875,0.7979,0.02845,64.49769
4.075,0.675,0.79756,0.02889,45.67305
4.675,0.525,0.79846,0.04118,314.45884
4.675,0.725,0.79966,0.02261,11.22049
4.525,0.875,0.79873,0.02069,31.62383
4.925,0.875,0.7987,0.02333,57.63804
4.625,0.625,0.7985,0.03227,339.97594
4.725,0.525,0.79888,0.03911,319.72923
4.725,0.475,0.79875,0.03925,310.98131
4.775,0.625,0.79915,0.02878,338.6052
4.475,0.675,0.79807,0.02668,351.48728
4.675,0.875,0.79917,0.02009,37.17217
5.025,0.675,0.79907,0.01803,23.92054
5.375,0.875,0.77893,0.07326,274.97279
5.425,0.825,0.77611,0.09507,270.81363
5.075,0.775,0.79794,0.0252,47.13895
5.075,0.825,0.79753,0.02781,59.02564
5.225,0.875,0.7932,0.01708,2.41668
5.025,0.625,0.79925,0.01904,355.42128
5.025,0.475,0.79952,0.01643,316.4549
5.475,0.725,0.77733,0.09402,270.52407
4.975,0.725,0.79883,0.02184,41.32414
0.175,1.325,0.80043,0.06709,277.51168
0.475,0.925,0.79724,0.07676,333.84219
0.225,0.925,0.79738,0.05227,297.58957
0.325,1.025,0.79741,0.05388,313.44331
0.025,0.975,0.79912,0.07792,270.25001
0.125,1.275,0.79984,0.07011,273.09869
0.375,1.025,0.79729,0.05747,321.55662
0.525,1.025,0.79732,0.07004,329.08114
0.075,1.225,0.80051,0.07671,273.72961
0.425,0.975,0.79732,0.06411,319.55477
0.575,0.925,0.79709,0.08563,354.7874
0.625,0.925,0.79699,0.09169,5.3568
0.725,1.075,0.79765,0.0977,348.34964
0.925,1.275,0.79779,0.09624,359.05339
1.025,1.025,0.79753,0.10033,348.49518
0.925,1.175,0.79745,0.09904,359.56034
0.925,1.325,0.798,0.09227,359.19893
0.925,0.975,0.79765,0.10572,344.98445
0.875,0.975,0.79766,0.10727,346.50655
0.625,1.275,0.79806,0.07126,351.16948
1.475,1.025,0.79863,0.06843,342.58454
1.575,1.225,0.79753,0.04705,349.88903
1.125,1.275,0.79754,0.08675,357.62175
1.125,1.225,0.79749,0.08998,356.36806
1.175,1.225,0.79724,0.08322,359.82099
1.225,1.075,0.79767,0.08452,352.0837
1.275,1.325,0.79712,0.07238,4.29428
1.325,0.975,0.79844,0.07952,343.3608
1.475,0.925,0.79927,0.07291,337.56814
1.425,1.075,0.79769,0.06714,351.9954
1.675,1.125,0.79769,0.0436,347.84466
2.125,1.025,0.80089,0.04673,355.75364
1.775,1.175,0.79775,0.03339,347.81177
1.925,0.975,0.8005,0.05743,342.18654
1.775,1.125,0.79772,0.03879,344.7993
2.025,0.975,0.80052,0.05331,352.34712
1.975,1.225,0.80084,0.02072,326.69333
1.725,1.325,0.79755,0.02829,7.92388
1.875,0.925,0.79996,0.05804,342.1207
1.925,1.175,0.79998,0.02488,340.63278
2.325,1.275,0.79949,0.02826,351.63765
2.325,1.075,0.80233,0.04136,3.97902
2.425,1.275,0.79934,0.02143,342.08929
2.625,1.275,0.79953,0.02722,4.59407
2.475,0.925,0.80412,0.0833,12.37437
2.625,1.025,0.80396,0.06993,17.73281
2.225,1.225,0.80088,0.02385,354.99696
2.225,1.025,0.80223,0.05198,0.15432
2.675,0.925,0.80487,0.08988,18.27972
2.375,1.225,0.8,0.02541,358.62426
3.175,1.025,0.80648,0.07211,48.26023
2.875,1.125,0.80302,0.05506,31.89177
3.225,0.925,0.80723,0.08831,45.4817
2.925,1.175,0.80207,0.02972,21.24651
3.125,1.125,0.80556,0.06143,50.90026
3.125,1.325,0.805,0.05089,75.01347
2.875,1.025,0.80512,0.081,28.98247
3.025,1.075,0.80528,0.07,39.74898
2.875,1.225,0.80212,0.03763,41.26183
3.175,1.075,0.80617,0.07012,49.60963
3.375,1.175,0.8065,0.0849,71.7059
3.525,1.275,0.80185,0.10375,94.98194
3.325,1.275,0.80629,0.07603,79.84883
3.725,1.075,0.79832,0.09427,92.63872
3.475,1.175,0.80284,0.10435,85.89482
3.825,1.075,0.79758,0.06879,98.18193
3.775,1.075,0.7977,0.08338,95.16768
3.425,1.225,0.8051,0.09385,85.18363
3.375,0.975,0.80611,0.09922,64.90706
3.775,1.175,0.79767,0.06359,94.84446
4.325,1.175,0.79762,0.01698,42.68459
4.075,1.175,0.79787,0.02439,87.15636
4.175,1.125,0.79792,0.01669,78.45439
3.975,0.925,0.7975,0.05898,93.26605
4.325,1.325,0.79724,0.01395,77.95689
4.375,1.275,0.79716,0.01571,65.80052
3.975,1.175,0.79777,0.04714,95.34297
3.975,1.325,0.79795,0.0401,93.61733
4.225,1.175,0.79795,0.01607,61.25012
4.125,1.175,0.79787,0.0234,86.47253
4.525,1.225,0.79665,0.012,54.49562
4.725,0.975,0.7987,0.02392,39.72584
4.925,1.275,0.79764,0.02276,60.60796
4.625,1.175,0.79697,0.01975,40.54466
4.625,1.225,0.79625,0.01627,65.75137
4.775,1.275,0.79763,0.01549,70.26655
4.475,1.325,0.79626,0.01275,83.33218
4.575,1.325,0.79719,0.0099,86.93248
4.825,1.225,0.79649,0.02498,68.11766
4.925,1.325,0.80005,0.02159,54.29264
5.275,0.925,0.78797,0.00387,265.99878
4.975,1.225,0.79696,0.03007,63.00032
4.975,1.125,0.79771,0.02833,64.87315
5.275,0.975,0.78597,0.00658,305.84158
5.375,0.975,0.77749,0.06147,271.62194
4.975,1.075,0.79762,0.03098,68.42869
5.425,0.975,0.77267,0.09479,271.05185
5.125,1.275,0.79608,0.03453,59.2383
5.375,1.025,0.77434,0.07316,271.98951
5.225,1.225,0.78929,0.03024,28.22632
0.425,1.375,0.79893,0.05186,322.72576
0.275,1.675,0.80257,0.06162,275.17675
0.225,1.375,0.80039,0.06226,285.75072
0.475,1.575,0.80062,0.05422,302.38285
0.025,1.375,0.80135,0.06933,270.57848
0.525,1.425,0.79968,0.05617,331.4913
0.425,1.575,0.80081,0.05716,298.52006
0.275,1.475,0.80052,0.05695,288.67039
0.525,1.375,0.79887,0.05539,330.80172
0.425,1.475,0.79999,0.05262,310.85404
0.975,1.425,0.79754,0.07777,7.5591
0.725,1.575,0.79884,0.05422,4.15638
1.025,1.375,0.79733,0.08094,6.8186
0.625,1.375,0.79882,0.07453,349.26748
0.575,1.675,0.79993,0.04016,327.12505
0.925,1.725,0.79875,0.04459,10.94959
0.925,1.425,0.79771,0.07884,5.48787
0.825,1.525,0.79841,0.05896,9.68598
0.975,1.725,0.7986,0.04842,15.97953
0.775,1.775,0.79971,0.02828,346.71075
1.325,1.675,0.7976,0.05402,26.73106
1.225,1.725,0.79793,0.05143,35.76691
1.575,1.525,0.79699,0.0416,22.76818
1.225,1.525,0.79757,0.0662,8.73234
1.325,1.475,0.79711,0.06415,15.5528
1.275,1.375,0.79716,0.07164,4.91639
1.325,1.525,0.79721,0.0622,17.05126
1.225,1.675,0.79785,0.05551,25.07862
1.475,1.475,0.79694,0.05295,15.88148
1.425,1.625,0.79757,0.0533,30.22085
2.175,1.575,0.79807,0.0408,348.60745
1.925,1.575,0.79754,0.03692,12.6096
1.975,1.375,0.79879,0.03179,6.88357
2.175,1.675,0.7977,0.03661,354.29408
2.025,1.625,0.79791,0.03965,350.94625
1.975,1.725,0.79774,0.037,348.95127
2.175,1.725,0.79785,0.02914,357.44297
1.975,1.675,0.79756,0.03787,358.60798
1.775,1.725,0.79714,0.0246,32.41761
2.025,1.575,0.79814,0.04087,353.39663
2.675,1.725,0.79963,0.02144,96.6708
2.225,1.625,0.79774,0.03673,358.33045
2.725,1.775,0.80081,0.03827,128.47509
2.225,1.775,0.79841,0.01149,350.52948
2.475,1.675,0.79846,0.01951,29.67931
2.475,1.475,0.79827,0.02979,351.46733
2.275,1.625,0.79765,0.03505,359.80384
2.225,1.425,0.79903,0.03409,343.17036
2.475,1.375,0.799,0.02519,347.50327
2.575,1.575,0.79822,0.02695,9.00799
3.125,1.575,0.80566,0.06941,107.71448
3.025,1.375,0.80311,0.02875,99.81288
2.975,1.625,0.8038,0.04662,123.67303
2.975,1.475,0.80309,0.03304,89.75722
2.975,1.725,0.80438,0.0576,127.04697
3.125,1.725,0.80544,0.08416,131.08794
3.175,1.425,0.80529,0.05564,96.09686
2.775,1.625,0.79983,0.0269,79.74278
2.875,1.425,0.80183,0.03038,63.21565
2.825,1.725,0.80118,0.04102,119.1835
3.475,1.475,0.80367,0.08854,105.29031
3.625,1.775,0.79903,0.05762,118.19299
3.525,1.575,0.80228,0.07875,107.59056
3.375,1.525,0.80485,0.08433,103.61439
3.825,1.775,0.79839,0.04425,118.24463
3.525,1.425,0.80232,0.08929,99.71023
3.425,1.575,0.80405,0.08214,108.19671
3.775,1.625,0.79885,0.05504,115.20556
3.325,1.625,0.80488,0.08399,120.28639
3.625,1.675,0.80104,0.06977,112.31224
3.975,1.725,0.79795,0.03805,116.10039
3.975,1.475,0.79821,0.03705,98.33349
4.325,1.375,0.7972,0.01445,101.9397
4.075,1.575,0.7977,0.03114,108.59789
4.275,1.725,0.82315,0.01221,126.41019
4.325,1.725,0.82939,0.01066,133.36559
4.225,1.775,0.83408,0.01052,141.7571
4.325,1.625,0.80536,0.01438,120.09581
4.025,1.675,0.79852,0.03639,116.10033
4.175,1.375,0.79763,0.02411,87.88418
4.875,1.725,0.92964,0.02543,311.58863
4.525,1.725,0.87614,0.00898,293.08128
4.475,1.775,0.88913,0.00592,277.18507
4.475,1.525,0.80353,0.00882,107.40825
4.625,1.575,0.83033,0.00202,287.26947
4.725,1.675,0.87647,0.01158,293.24407
4.625,1.775,0.91427,0.01385,293.58436
4.675,1.775,0.92235,0.01544,293.95872
4.675,1.375,0.79981,0.00974,85.87664
4.825,1.475,0.81103,0.00976,41.59454
5.075,1.525,0.81512,0.0255,54.46493
4.975,1.725,0.92746,0.02488,314.39759
4.975,1.675,0.90371,0.01775,330.97989
5.225,1.425,0.78237,0.01539,343.34356
5.275,1.675,0.79426,0.01245,305.65533
5.375,1.425,0.77132,0.0537,274.26122
5.175,1.725,0.85323,0.00803,52.74471
5.075,1.375,0.80404,0.0305,45.49151
5.375,1.575,0.78038,0.0133,289.41613
5.125,1.475,0.80885,0.02974,54.80278
0.375,2.175,0.80393,0.02704,218.27266
0.275,2.225,0.80467,0.02429,219.05037
0.525,2.025,0.80145,0.0222,213.70438
0.225,1.925,0.80349,0.0407,260.68118
0.025,2.125,0.80572,0.01852,268.26711
0.375,1.825,0.8008,0.02466,277.1279
0.175,2.125,0.80483,0.02646,246.90376
0.075,1.875,0.80452,0.04147,269.15727
0.375,2.075,0.80294,0.02889,227.21661
0.175,2.225,0.80572,0.01484,224.26303
0.625,1.825,0.80038,0.01871,296.81154
0.725,2.175,0.80369,0.0431,163.18362
0.725,1.925,0.80011,0.0032,88.74685
0.775,2.175,0.80306,0.03732,167.21139
1.025,1.825,0.79928,0.02943,45.90851
0.925,1.925,0.79997,0.01196,84.43246
0.975,2.225,0.8056,0.0396,160.29751
0.625,1.975,0.80119,0.01836,195.57254
0.575,2.025,0.80121,0.02059,201.78074
0.775,1.875,0.79999,0.00899,0.9559
1.175,2.175,0.80431,0.03173,157.24956
1.375,1.975,0.79894,0.02933,82.69325
1.225,2.225,0.80552,0.04119,160.87011
1.325,1.825,0.79828,0.04309,48.82033
1.625,2.175,0.80956,0.03864,183.73912
1.575,1.925,0.79794,0.03567,67.59016
1.225,1.975,0.79928,0.02505,82.65933
1.375,1.825,0.79816,0.04303,45.97932
1.425,2.175,0.80294,0.02388,151.46038
1.475,2.125,0.80854,0.03788,200.55427
2.125,1.925,0.79944,0.02258,91.72571
1.725,2.075,0.79916,0.02945,107.28439
2.025,2.075,0.807,0.06526,121.99515
2.125,1.875,0.79866,0.01652,61.54182
1.725,1.825,0.79742,0.02597,46.24808
1.975,2.125,0.80167,0.07769,89.99263
2.125,1.825,0.79837,0.01818,39.82172
1.825,2.125,0.80123,0.02102,133.13002
1.825,2.175,0.80337,0.02379,141.98347
1.725,1.975,0.79818,0.03199,74.63022
2.575,2.175,0.81268,0.07734,147.32086
2.675,2.025,0.80423,0.0932,150.62416
2.525,1.825,0.80045,0.04659,149.05312
2.225,1.925,0.79907,0.02012,104.71312
2.225,2.175,0.85175,0.11666,140.34221
2.225,2.125,0.81432,0.07954,121.46781
2.225,1.875,0.79891,0.00979,108.08345
2.275,2.075,0.80501,0.06485,130.34064
2.525,2.025,0.80314,0.09058,147.24501
2.375,1.875,0.79963,0.03197,146.94608
2.925,2.225,0.82017,0.05307,99.44635
2.925,2.175,0.8128,0.06116,112.55645
3.175,2.075,0.81858,0.1099,116.12906
3.175,2.025,0.80442,0.07978,140.01879
3.275,2.175,0.84354,0.11983,126.54764
2.975,2.125,0.80747,0.08976,121.42684
2.975,2.075,0.8058,0.08509,137.24304
3.075,1.925,0.80493,0.09352,143.71948
2.775,1.825,0.80217,0.05915,138.23454
3.075,1.825,0.80517,0.09332,140.62679
3.825,2.025,0.82242,0.03085,120.50509
3.775,1.875,0.80113,0.04275,123.02836
3.675,2.125,0.83509,0.04279,126.52447
3.525,2.175,0.81172,0.04975,126.09596
3.725,1.975,0.80174,0.04687,124.08672
3.525,2.075,0.80582,0.05102,130.15788
3.325,2.225,0.86131,0.06419,162.38931
3.325,2.125,0.83565,0.08569,120.86628
3.575,2.175,0.8265,0.05117,128.8277
3.475,2.125,0.81411,0.04757,129.97676
4.175,2.025,0.87797,0.01518,133.02507
4.325,2.225,0.95578,0.01553,204.83185
4.025,1.825,0.80398,0.02963,117.36942
4.325,2.175,0.95248,0.0132,206.1185
3.975,2.225,0.88349,0.02889,133.97622
3.875,1.825,0.79916,0.04138,118.13195
4.375,1.825,0.86715,0.00349,186.08635
4.275,2.225,0.94726,0.01605,180.92807
4.125,1.925,0.83474,0.02026,124.68621
4.375,2.025,0.92787,0.01006,218.41959
4.475,1.875,0.91811,0.00987,258.18908
4.625,2.075,0.97395,0.02451,265.71784
4.825,1.975,0.97421,0.03267,285.58888
4.925,2.075,0.97851,0.04039,288.35421
4.925,2.175,0.98021,0.0427,286.91133
4.925,1.975,0.97569,0.04216,293.09866
4.825,2.125,0.97591,0.03409,281.72853
4.775,1.875,0.96016,0.0264,293.36961
4.625,2.175,0.97954,0.02875,260.67201
4.425,1.875,0.90477,0.00867,243.10974
5.425,2.025,0.78207,0.01338,318.4838
4.975,1.875,0.96509,0.04849,305.10914
4.975,1.975,0.9718,0.04405,298.97376
5.425,2.125,0.78642,0.01473,19.83693
5.025,2.175,0.9663,0.05512,291.81299
5.225,1.925,0.83454,0.01191,328.95371
5.075,2.175,0.96475,0.04885,290.06729
5.375,1.925,0.78525,0.01947,270.61796
5.125,2.075,0.95145,0.04349,308.02404
5.425,2.075,0.78531,0.01443,346.45485
0.125,2.375,0.8066,0.00476,141.66007
0.325,2.275,0.80468,0.02376,201.68499
0.225,2.425,0.80738,0.01627,167.10832
0.075,2.525,0.8079,0.02479,92.68233
0.325,2.675,0.81059,0.01296,98.61167
0.325,2.375,0.80546,0.02318,176.48841
0.325,2.425,0.80623,0.02179,169.66458
0.275,2.375,0.8058,0.02213,181.6314
0.425,2.375,0.80536,0.02523,172.1397
0.025,2.675,0.80854,0.02699,88.11065
1.075,2.525,0.82889,0.00661,321.44848
1.075,2.375,0.82207,0.03312,187.00699
1.025,2.475,0.8233,0.01563,182.89719
0.575,2.525,0.81042,0.03481,141.54326
0.725,2.375,0.80809,0.04747,161.42765
0.925,2.375,0.81353,0.03851,177.11233
0.925,2.675,0.82794,0.01574,32.76146
0.775,2.575,0.81752,0.01676,120.23675
0.875,2.575,0.82099,0.0158,147.14491
0.625,2.275,0.80366,0.04026,160.65153
1.625,2.625,0.83143,0.05421,345.61257
1.325,2.675,0.83034,0.05181,352.33594
1.625,2.675,0.83135,0.05509,345.39619
1.125,2.525,0.83094,0.00496,276.59518
1.225,2.675,0.83126,0.04297,0.29334
1.275,2.475,0.83395,0.01499,246.9068
1.625,2.475,0.83484,0.02677,324.01197
1.325,2.375,0.82775,0.03751,202.87367
1.225,2.375,0.82548,0.03583,200.9491
1.575,2.475,0.83353,0.01977,316.02449
1.925,2.525,0.839,0.03202,322.77941
2.025,2.625,0.88766,0.03056,356.04127
1.975,2.475,0.85493,0.0479,313.08803
2.075,2.275,0.83434,0.08523,63.94302
1.825,2.425,0.83496,0.00666,273.87707
1.775,2.325,0.83061,0.0212,233.30305
1.975,2.275,0.83153,0.03476,39.09226
2.025,2.375,0.8856,0.04935,204.23833
1.675,2.625,0.83176,0.05315,344.49435
2.175,2.475,5.73207,0.03653,133.14738
2.275,2.325,4.06523,0.08822,126.18017
2.575,2.675,0.92917,0.07618,87.42681
2.675,2.675,0.87471,0.04677,92.25486
2.325,2.425,5.68567,0.09849,119.00601
