X,Y,concentration,v_x,v_y,v_z
2.5955,0.0145,0.00381,0.01989,0.0772,-0.00102
2.6245,0.0145,0.00381,0.01978,0.07744,-0.00111
2.6535,0.0145,0.0038,0.01965,0.07755,-0.00124
2.6825,0.0145,0.0038,0.01926,0.07756,-0.0013
2.7115,0.0145,0.0038,0.01954,0.07775,-0.00155
2.7405,0.0145,0.00379,0.01998,0.078,-0.00179
2.7695,0.0145,0.00379,0.0199,0.07819,-0.00187
2.7985,0.0145,0.00377,0.02094,0.07845,-0.00219
2.8275,0.0145,0.00376,0.02242,0.07852,-0.00263
2.8565,0.0145,0.00375,0.02303,0.0778,-0.00286
2.8855,0.0145,0.00373,0.02468,0.07743,-0.00329
2.9145,0.0145,0.00371,0.02746,0.07801,-0.00374
2.9435,0.0145,0.00369,0.0298,0.07796,-0.00394
2.9725,0.0145,0.00367,0.03211,0.07788,-0.00402
3.0015,0.0145,0.00365,0.03487,0.07832,-0.00402
3.0305,0.0145,0.00363,0.03736,0.07847,-0.00385
3.0595,0.0145,0.00361,0.04002,0.07927,-0.00337
3.0885,0.0145,0.00358,0.04217,0.07984,-0.00311
3.1175,0.0145,0.00356,0.04416,0.08071,-0.00284
3.1465,0.0145,0.00353,0.04609,0.08178,-0.00225
3.1755,0.0145,0.00351,0.0472,0.08293,-0.0019
3.2045,0.0145,0.00348,0.04751,0.08445,-0.00165
3.2335,0.0145,0.00345,0.04785,0.08582,-0.0009
3.2625,0.0145,0.00342,0.04666,0.08792,-0.00046
3.2915,0.0145,0.00338,0.04502,0.08991,0.00035
3.3205,0.0145,0.00334,0.04249,0.09255,0.00133
3.3495,0.0145,0.00329,0.03813,0.09574,0.00206
3.3785,0.0145,0.00323,0.03275,0.10004,0.00325
3.4075,0.0145,0.00312,0.02595,0.10744,0.00495
3.4365,0.0145,0.00286,0.01749,0.11891,0.0065
3.4655,0.0145,0.00239,0.00604,0.11834,0.00769
3.4945,0.0145,0.00186,-0.00494,0.10729,0.00796
3.5235,0.0145,0.00172,-0.016,0.0867,0.00645
3.5525,0.0145,0.00164,-0.02337,0.07322,0.00281
3.5815,0.0145,0.00163,-0.02883,0.07057,0.00087
3.6105,0.0145,0.00162,-0.03109,0.06928,0.00016
3.6395,0.0145,0.0016,-0.03213,0.06694,-0.00162
3.6685,0.0145,0.00158,-0.03138,0.06794,-0.00193
3.6975,0.0145,0.00155,-0.02999,0.06696,-0.00221
3.7265,0.0145,0.00153,-0.02891,0.06958,-0.00211
3.7555,0.0145,0.00151,-0.0281,0.07147,-0.00148
3.7845,0.0145,0.00149,-0.02792,0.07411,-0.00132
3.8135,0.0145,0.00148,-0.02781,0.07611,-0.00087
3.8425,0.0145,0.00147,-0.028,0.07814,-0.00072
